% Model,Untitled.mph
% Version,COMSOL 6.3.0.335
% Date,"Sep 30 2025, 16:39"
% Dimension,2
% Nodes,13923
% Expressions,3
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa)
0.9798062992796304,-0.47713201246356723,0.0926645033790702,-0.0014407660096702097,-0.036833931618867936
0.9932192793692219,-0.468138968323124,0.12875296088057775,-0.003642438126542731,-0.1936544190375051
1,-0.46359058404518594,0.14658213799898814,-0.005032225425291514,-0.26648090810776554
0.9868173259473463,-0.4724612409902347,0.11152749731023992,-0.0024710582629172764,-0.11906181170980656
0.9922111188262575,0.44880832297924084,0.19351962246915366,2.704752051241207E-4,-0.2026698295303966
1,0.4443433260183839,0.20941112797618314,3.110157782213496E-4,-0.26626772334827675
0.9399496895582823,0.4763388506041714,0.09191989438186267,5.049338291574862E-5,0.22525304151150508
0.9469762023706225,0.4772828801083571,0.08836702969571501,4.811332598537048E-5,0.16868789338643883
0.954280393459595,0.4760593953384606,0.09303902052590057,5.581892597759742E-5,0.10939563193385161
0.9642038900573511,0.46887388268656927,0.12010922648161922,9.869238817787652E-5,0.02770333744431294
0.9581465817973178,0.4695688589762913,0.11748164457793107,8.943486746402058E-5,0.0770160164692895
0.9697547812695118,0.46273512092264957,0.14289704285517388,1.4105180137527292E-4,-0.018289994613496802
0.9775306586789123,0.45857860735730155,0.15817831771733618,1.8012840092470237E-4,-0.08216912664343258
0.984568390057379,0.4538237954142052,0.1754754847844168,2.2408364578080107E-4,-0.14002739295515146
0.9330884935181815,0.47618860588708617,0.09246110466157302,5.034595121614917E-5,0.280533308478168
0.9230728288150872,0.48304029053400926,0.06629366329255325,2.586084810204276E-5,0.3622326682467925
0.9265727744339277,0.47662148272021754,0.09079495375496323,4.830777411885979E-5,0.3330521102652941
0.882972202259309,0.4933460023494206,0.026235617677079215,4.2663302097503305E-6,0.6851758685363513
0.8862876254180612,0.49705451229847053,0.011659031158219839,8.399358251698147E-7,0.6594151883536093
0.8795986622073588,0.49705156213637797,0.01166684677397714,8.484013369102038E-7,0.7127762444645177
0.8896632371594849,0.493325084350133,0.026326022886183176,4.256990291231288E-6,0.6317579364185816
0.9163260984868239,0.48289536137020567,0.06682992694124835,2.634784018610164E-5,0.41640467005573706
0.9095610335188229,0.4826436883928287,0.06777502155894911,2.7257086190999528E-5,0.4706441597144639
0.8997118406363298,0.4883796633686253,0.04562286648865469,1.2555736578863921E-5,0.5505203179593788
0.9029422742937244,0.4823757647500652,0.06878166331884884,2.8288652492490784E-5,0.5236397199168938
0.8930492699746019,0.488113276201302,0.046641533954461876,1.323920355174253E-5,0.6037663869188375
0.8762734511642098,0.49308492646446755,0.027248940988169823,4.636314056343333E-6,0.738521803291445
0.8729096989966563,0.4970490278504347,0.01167298570565106,8.552859019389431E-7,0.766053705504063
0.8701463643428182,0.49310192676108305,0.027174290860953475,4.635906826613563E-6,0.787289733987021
0.8662207357859542,0.4970476140395149,0.011674679615117362,8.599936490533979E-7,0.8192450830143262
0.863217140280366,0.4932938524684648,0.02641436389127284,4.398443154798483E-6,0.842385521283952
0.8595317725752518,0.4970476611570235,0.01167060032126369,8.619691231069587E-7,0.8723435495622569
0.8500266205682013,0.4932873623820582,0.02642264705498749,4.397456530512258E-6,0.9469176963237081
0.8528428093645495,0.49704884180065223,0.011662051744715737,8.608015098030931E-7,0.9253460155397069
0.8461538461538476,0.49705066386868585,0.011650989875791868,8.568162042092862E-7,0.9782476686006456
0.8564982908518819,0.49319141159735286,0.026806251888501522,4.533704027218859E-6,0.8956594251378757
0.9424752309421637,-0.4932517410650813,0.027123211024552896,-2.6466979848537496E-5,0.2711706751535629
0.939799331103679,-0.49707210372081156,0.011793541237249123,-4.2026745188768795E-6,0.2915740313969472
0.9360438137267176,-0.49325519111709,0.027065350550529194,-1.93251322911245E-5,0.3104847895052986
0.9331103678929766,-0.49706448387955215,0.011807317450608944,-3.012200787946795E-6,0.33162743214516277
0.9463239735536905,-0.4884414108705677,0.046337767822910735,-9.340313141379388E-5,0.240639507239278
0.9531327277987439,-0.4885301611170183,0.04611290961753633,-1.246813217542543E-4,0.19782950534503407
0.9634932415095255,-0.48322556805387473,0.06751965794951563,-4.125992857422195E-4,0.11584869031005281
0.9566736887375049,-0.4827914835755985,0.06895916952950111,-3.2164750913918523E-4,0.16229965216725128
0.9669218249139166,-0.47759122415393396,0.089880640722544,-8.035971662513587E-4,0.07454456188344194
0.971947009630684,-0.47270506848899496,0.10922584886318538,-0.0013566698539693664,0.021407147465100394
0.9783386002665099,-0.46866363014466583,0.12527734631734344,-0.0021064981968166793,-0.044698026007121944
0.9927214135287793,-0.4586274478492814,0.16428832409469055,-0.004525326815823413,-0.1956035191531884
1,-0.4540243471817026,0.18177619390618435,-0.005925279116460939,-0.2665246993330396
0.9858274908148613,-0.463510250446261,0.14547622824991788,-0.003265710383658135,-0.12417524292932354
0.9917847126119512,0.4394120610384052,0.22669751895744686,3.165655748033832E-4,-0.19941606686866453
1,0.43469968217717825,0.2431070545594409,3.50752828984875E-4,-0.2662675226483258
0.9836133924725797,0.4443569436077181,0.20928106324471532,2.7579365499792643E-4,-0.1327318269463967
0.9363016611416402,0.47014751773949476,0.11520837644870752,7.7886691147134E-5,0.25371979312693727
0.9438419014084725,0.47112602803877845,0.11158227121110818,7.462517846012723E-5,0.19301942364775346
0.9510604056358519,0.4713235770896995,0.11087681968483588,7.627725558855348E-5,0.13470371286030447
0.9545521371938048,0.46506130138885315,0.13422293086110745,1.1134243868553552E-4,0.10551143820359996
0.9614536739647426,0.46189222615891656,0.14594837595994994,1.3550497042342263E-4,0.049104575089050424
0.9681911133235106,0.4549683765448383,0.17123989624792832,1.8609437908274754E-4,-0.006432183108665481
0.9758364996712011,0.449504008779408,0.19094207726719745,2.317605944099458E-4,-0.06910550083970901
0.8437866904338214,0.49312708116412124,0.027040961649329776,4.581386831597177E-6,0.9962070883672002
0.839464882943145,0.49705251755239094,0.011639830153434852,8.490999998935998E-7,1.031044018104806
0.8361519069100302,0.49306711581437357,0.027265177943022755,4.609915896279043E-6,1.0564152549906234
0.8327759197324429,0.49705390247520653,0.011630556922405338,8.380471455638515E-7,1.0837313760707101
0.9300377518915249,0.4697079564363629,0.11681989107539814,7.947920944361023E-5,0.30411802993276593
0.9196070095184754,0.4761600684529031,0.09251444219674994,5.015703600938894E-5,0.38897934147808216
0.92301300548173,0.4704892031533762,0.11386561921380949,7.550136820180884E-5,0.36075269601458565
0.8796821777795854,0.4882579337844959,0.046051570200235044,1.312349927632859E-5,0.7104903993971572
0.8863713958867723,0.4883677262531644,0.04564056398502462,1.2793306613853487E-5,0.6571529522789518
0.913072140752841,0.47613127429852153,0.09259678550342308,5.046990112957237E-5,0.4414371658112772
0.9062049522960256,0.476110130765029,0.09264862887947851,5.0879800557999455E-5,0.4965008669592494
0.8964486328671111,0.4823216316820556,0.06896863517501346,2.8678428082986894E-5,0.5756036177484639
0.9000682931009114,0.4761231859417469,0.09257393672684137,5.117156171456022E-5,0.5456515347208094
0.8897988121534516,0.4823732078588485,0.0687500147741288,2.8740696980171768E-5,0.6287628970512428
0.8730921001318632,0.48816109019569054,0.046412208008015536,1.340744198222376E-5,0.7629597271567256
0.8662804105664316,0.48849398357130996,0.04510764903411097,1.2724157467585853E-5,0.8171831072824124
0.859577393474492,0.48851456949208716,0.04501336985201087,1.2690912760505007E-5,0.870399558059634
0.8462013484326076,0.4884755035151959,0.04513573592954013,1.2686446386033699E-5,0.9762990938912796
0.85288202245339,0.4885230924063448,0.04496588609870391,1.264840684971484E-5,0.9234606666700209
0.9293512758262448,-0.4932940871708361,0.026877171339386604,-1.3397865268902571E-5,0.3520852198592543
0.9264214046822743,-0.4970584521160004,0.011819729053753659,-2.003765762999916E-6,0.3725302041798189
0.921604200951926,-0.49283952845545204,0.028661467779236244,-9.406679542309594E-6,0.40081468787873126
